Draft_Position,Name,TEAM,POS,value,Team,playerid,url,xpath,xpathIP_PA,Status,New_Position
10,Dallas Keuchel,Hou,SP,$27,Team Fink,9434,http://www.fangraphs.com/statss.aspx?playerid=9434&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter,
14,Trevor Bauer,Cle,SP,$25,Team Fink,12703,http://www.fangraphs.com/statss.aspx?playerid=12703&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter,
47,Madison Bumgarner,SF,SP,$26,Team Fink,5524,http://www.fangraphs.com/statss.aspx?playerid=5524&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Bench,
51,Anthony Rizzo,ChC,1B,$26,Team Fink,3473,http://www.fangraphs.com/statss.aspx?playerid=3473&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[4]",Starter,
72,J.D. Martinez,Bos,OF,$20,Team Fink,6184,http://www.fangraphs.com/statss.aspx?playerid=6184&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[4]",Starter,
74,Marcell Ozuna,StL,OF,$22,Team Fink,10324,http://www.fangraphs.com/statss.aspx?playerid=10324&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[4]",Starter,
78,Rhys Hoskins,Phi,1B,$18,Team Fink,16472,https://www.fangraphs.com/statss.aspx?playerid=16472&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[4]",Starter,
87,Aaron Nola,Phi,SP,$19,Team Fink,16149,http://www.fangraphs.com/statss.aspx?playerid=16149&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[8]",Starter,
101,Alex Wood,LAD,SP,$12,Team Fink,13781,https://www.fangraphs.com/statss.aspx?playerid=13781&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter,
109,Wilson Ramos,TB,C,$6,Team Fink,1433,http://www.fangraphs.com/statss.aspx?playerid=1433&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter,
120,Tommy Pham,StL,OF,$11,Team Fink,2967,https://www.fangraphs.com/statss.aspx?playerid=2967&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter,
134,Daniel Murphy,Wsh,2B,$9,Team Fink,4316,http://www.fangraphs.com/statss.aspx?playerid=4316&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Starter,
157,Kyle Seager,Sea,3B,$6,Team Fink,9785,http://www.fangraphs.com/statss.aspx?playerid=9785&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Starter,
164,Zack Godley,Ari,SP,$6,Team Fink,14862,https://www.fangraphs.com/statss.aspx?playerid=14862&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[8]",Starter,
172,Manuel Margot,SD,OF,$5,Team Fink,14712,http://www.fangraphs.com/statss.aspx?playerid=14712&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter,
176,Luiz Gohara,Atl,SP,$3,Team Fink,15166,https://www.fangraphs.com/statss.aspx?playerid=15166&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[8]",Starter,
178,Brandon Crawford,SF,SS,$5,Team Fink,5343,http://www.fangraphs.com/statss.aspx?playerid=5343&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[4]",Starter,
199,Michael Wacha,StL,SP,$3,Team Fink,14078,http://www.fangraphs.com/statss.aspx?playerid=14078&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter,
214,Danny Salazar,Cle,SP,$3,Team Fink,5867,http://www.fangraphs.com/statss.aspx?playerid=5867&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter,
221,Jerad Eickhoff,Phi,SP,$2,Team Fink,12664,http://www.fangraphs.com/statss.aspx?playerid=12664&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__14""]/td[8]",Starter,
223,Jason Kipnis,Cle,2B,$1,Team Fink,9776,http://www.fangraphs.com/statss.aspx?playerid=9776&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[4]",Starter,
224,Chase Anderson,Mil,SP,$2,Team Fink,6895,https://www.fangraphs.com/statss.aspx?playerid=6895&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
232,Austin Hedges,SD,C,$2,Team Fink,12976,http://www.fangraphs.com/statss.aspx?playerid=12976&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__21""]/td[4]",Starter,
243,Scott Kingery,Phi,2B,$1,Team Fink,17975,https://www.fangraphs.com/statss.aspx?playerid=17975&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__10""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__10""]/td[4]",Bench,
256,Alex Cobb,FA,SP,$2,Team Fink,6562,http://www.fangraphs.com/statss.aspx?playerid=6562&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter,
260,Blake Parker,LAA,RP,$2,Team Fink,5224,https://www.fangraphs.com/statss.aspx?playerid=5224&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Starter,
263,Avisail Garcia,CWS,OF,$1,Team Fink,5760,https://www.fangraphs.com/statss.aspx?playerid=5760&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Starter,
272,Logan Morrison,Min,1B,$1,Team Fink,9205,https://www.fangraphs.com/statss.aspx?playerid=9205&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[4]",Bench,
275,Shin-Soo Choo,Tex,OF,$2,Team Fink,3174,https://www.fangraphs.com/statss.aspx?playerid=3174&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__46""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__46""]/td[4]",Bench,
281,Yonder Alonso,Cle,1B,$1,Team Fink,2530,https://www.fangraphs.com/statss.aspx?playerid=2530&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Bench,
25,Eric Hosmer,SD,1B,$20,Team Brothers,3516,http://www.fangraphs.com/statss.aspx?playerid=3516&position=1B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
44,Cody Bellinger,LAD,1B,$23,Team Brothers,15998,https://www.fangraphs.com/statss.aspx?playerid=15998&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter,
57,Stephen Strasburg,Wsh,SP,$29,Team Brothers,10131,http://www.fangraphs.com/statss.aspx?playerid=10131&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__34""]/td[8]",Starter,
66,Justin Verlander,Hou,SP,$22,Team Brothers,8700,http://www.fangraphs.com/statss.aspx?playerid=8700&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__42""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__42""]/td[8]",Starter,
68,Christian Yelich,Mil,OF,$18,Team Brothers,11477,http://www.fangraphs.com/statss.aspx?playerid=11477&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[4]",Starter,
86,Stephen Piscotty,Oak,OF,$7,Team Brothers,13367,http://www.fangraphs.com/statss.aspx?playerid=13367&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Bench,
89,Aroldis Chapman,NYY,RP,$9,Team Brothers,10233,http://www.fangraphs.com/statss.aspx?playerid=10233&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[8]",Starter,
97,Evan Gattis,Hou,C,$7,Team Brothers,11003,http://www.fangraphs.com/statss.aspx?playerid=11003&position=C/DH,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[4]",Starter,
102,Domingo Santana,Mil,OF,$8,Team Brothers,10348,http://www.fangraphs.com/statss.aspx?playerid=10348&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
110,Wil Myers,SD,1B,$8,Team Brothers,10047,http://www.fangraphs.com/statss.aspx?playerid=10047&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,OF
112,Kyle Hendricks,ChC,SP,$6,Team Brothers,12049,http://www.fangraphs.com/statss.aspx?playerid=12049&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Starter,
118,Steven Souza Jr.,Ari,OF,$5,Team Brothers,5667,https://www.fangraphs.com/statss.aspx?playerid=5667&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[4]",Starter,
121,Yoenis Cespedes,NYM,OF,$10,Team Brothers,13110,http://www.fangraphs.com/statss.aspx?playerid=13110&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__31""]/td[4]",Starter,
124,Cody Allen,Cle,RP,$7,Team Brothers,12183,http://www.fangraphs.com/statss.aspx?playerid=12183&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter,
131,Lance McCullers Jr.,Hou,SP,$9,Team Brothers,14120,https://www.fangraphs.com/statss.aspx?playerid=14120&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[8]",Starter,
137,Charlie Morton,Hou,SP,$7,Team Brothers,4676,http://www.fangraphs.com/statss.aspx?playerid=4676&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__44""]/td[8]",Starter,
141,Andrew Miller,Cle,RP,$7,Team Brothers,6785,http://www.fangraphs.com/statss.aspx?playerid=6785&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__56""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__56""]/td[8]",Starter,
