,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
156,Jake Arrieta,ChC,P,Bluff Bunters,4153,http://www.fangraphs.com/statss.aspx?playerid=4153&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[8]",Starter
163,Jason Castro,Min,C,Bluff Bunters,8722,http://www.fangraphs.com/statss.aspx?playerid=8722&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__24""]/td[4]",Starter
179,Joakim Soria,KC ,P,Bluff Bunters,6941,http://www.fangraphs.com/statss.aspx?playerid=6941&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__32""]/td[8]",Starter
182,Joe Blanton,Wsh,P,Bluff Bunters,4849,http://www.fangraphs.com/statss.aspx?playerid=4849&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__45""]/td[8]",Bench
193,Jonathan Schoop,Bal,2B,Bluff Bunters,11265,http://www.fangraphs.com/statss.aspx?playerid=11265&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[4]",Bench
198,Jose Altuve,Hou,2B,Bluff Bunters,5417,http://www.fangraphs.com/statss.aspx?playerid=5417&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[4]",Starter
208,Jose Reyes,NYM,3B,Bluff Bunters,1736,http://www.fangraphs.com/statss.aspx?playerid=1736&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__47""]/td[4]",Bench
213,Josh Tomlin,Cle,P,Bluff Bunters,9388,http://www.fangraphs.com/statss.aspx?playerid=9388&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[8]",Starter
226,Keon Broxton,Mil,OF,Bluff Bunters,9253,http://www.fangraphs.com/statss.aspx?playerid=9253&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
244,Madison Bumgarner,SF ,P,Bluff Bunters,5524,http://www.fangraphs.com/statss.aspx?playerid=5524&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__29""]/td[8]",Starter
